wkt_geom,left,top,right,bottom,id,Area,Region,Region_Let,Number,Client_Nam,Columna1,Name,Crop,AUTO
MultiPoint ((11699834.77801547385752201 1485440.35880533838644624)),11699784.78,1485490.359,11699884.78,1485390.359,304,171.3918142,Avocado,A,3,,c,A3-c,,0
MultiPoint ((11699734.77801547385752201 1484140.35880533838644624)),11699684.78,1484190.359,11699784.78,1484090.359,297,171.3918142,Avocado,A,3,,c,A3-c,,0
MultiPoint ((11699834.77801547385752201 1485640.35880533838644624)),11699784.78,1485690.359,11699884.78,1485590.359,302,171.3918142,Avocado,A,3,,c,A3-c,,0
MultiPoint ((11699834.77801547385752201 1485140.35880533838644624)),11699784.78,1485190.359,11699884.78,1485090.359,307,171.3918142,Avocado,A,3,,c,A3-c,,0
MultiPoint ((11699834.77801547385752201 1485040.35880533838644624)),11699784.78,1485090.359,11699884.78,1484990.359,308,171.3918142,Avocado,A,3,,c,A3-c,,0
MultiPoint ((11699834.77801547385752201 1485340.35880533838644624)),11699784.78,1485390.359,11699884.78,1485290.359,305,171.3918142,Avocado,A,3,,c,A3-c,,0
MultiPoint ((11699834.77801547385752201 1485240.35880533838644624)),11699784.78,1485290.359,11699884.78,1485190.359,306,171.3918142,Avocado,A,3,,c,A3-c,,0
MultiPoint ((11699834.77801547385752201 1484740.35880533838644624)),11699784.78,1484790.359,11699884.78,1484690.359,311,171.3918142,Avocado,A,3,,c,A3-c,,0
MultiPoint ((11699834.77801547385752201 1484640.35880533838644624)),11699784.78,1484690.359,11699884.78,1484590.359,312,171.3918142,Avocado,A,3,,c,A3-c,,0
MultiPoint ((11699834.77801547385752201 1484940.35880533838644624)),11699784.78,1484990.359,11699884.78,1484890.359,309,171.3918142,Avocado,A,3,,c,A3-c,,0
MultiPoint ((11699834.77801547385752201 1484840.35880533838644624)),11699784.78,1484890.359,11699884.78,1484790.359,310,171.3918142,Avocado,A,3,,c,A3-c,,0
MultiPoint ((11699834.77801547385752201 1484340.35880533838644624)),11699784.78,1484390.359,11699884.78,1484290.359,315,171.3918142,Avocado,A,3,,c,A3-c,,0
MultiPoint ((11699934.77801547385752201 1485740.35880533838644624)),11699884.78,1485790.359,11699984.78,1485690.359,321,171.3918142,Avocado,A,3,,c,A3-c,,0
MultiPoint ((11699834.77801547385752201 1484540.35880533838644624)),11699784.78,1484590.359,11699884.78,1484490.359,313,171.3918142,Avocado,A,3,,c,A3-c,,0
MultiPoint ((11699834.77801547385752201 1484440.35880533838644624)),11699784.78,1484490.359,11699884.78,1484390.359,314,171.3918142,Avocado,A,3,,c,A3-c,,0
MultiPoint ((11699734.77801547385752201 1485540.35880533838644624)),11699684.78,1485590.359,11699784.78,1485490.359,283,171.3918142,Avocado,A,3,,c,A3-c,,0
MultiPoint ((11699734.77801547385752201 1485440.35880533838644624)),11699684.78,1485490.359,11699784.78,1485390.359,284,171.3918142,Avocado,A,3,,c,A3-c,,0
MultiPoint ((11699634.77801547385752201 1484040.35880533838644624)),11699584.78,1484090.359,11699684.78,1483990.359,278,171.3918142,Avocado,A,3,,c,A3-c,,0
MultiPoint ((11699734.77801547385752201 1485640.35880533838644624)),11699684.78,1485690.359,11699784.78,1485590.359,282,171.3918142,Avocado,A,3,,c,A3-c,,0
MultiPoint ((11699734.77801547385752201 1485140.35880533838644624)),11699684.78,1485190.359,11699784.78,1485090.359,287,171.3918142,Avocado,A,3,,c,A3-c,,0
MultiPoint ((11699734.77801547385752201 1485040.35880533838644624)),11699684.78,1485090.359,11699784.78,1484990.359,288,171.3918142,Avocado,A,3,,c,A3-c,,0
MultiPoint ((11699734.77801547385752201 1485340.35880533838644624)),11699684.78,1485390.359,11699784.78,1485290.359,285,171.3918142,Avocado,A,3,,c,A3-c,,0
MultiPoint ((11699734.77801547385752201 1485240.35880533838644624)),11699684.78,1485290.359,11699784.78,1485190.359,286,171.3918142,Avocado,A,3,,c,A3-c,,0
MultiPoint ((11699734.77801547385752201 1484740.35880533838644624)),11699684.78,1484790.359,11699784.78,1484690.359,291,171.3918142,Avocado,A,3,,c,A3-c,,0
MultiPoint ((11699734.77801547385752201 1484640.35880533838644624)),11699684.78,1484690.359,11699784.78,1484590.359,292,171.3918142,Avocado,A,3,,c,A3-c,,0
MultiPoint ((11699734.77801547385752201 1484940.35880533838644624)),11699684.78,1484990.359,11699784.78,1484890.359,289,171.3918142,Avocado,A,3,,c,A3-c,,0
MultiPoint ((11699734.77801547385752201 1484840.35880533838644624)),11699684.78,1484890.359,11699784.78,1484790.359,290,171.3918142,Avocado,A,3,,c,A3-c,,0
MultiPoint ((11699734.77801547385752201 1484340.35880533838644624)),11699684.78,1484390.359,11699784.78,1484290.359,295,171.3918142,Avocado,A,3,,c,A3-c,,0
MultiPoint ((11699734.77801547385752201 1484240.35880533838644624)),11699684.78,1484290.359,11699784.78,1484190.359,296,171.3918142,Avocado,A,3,,c,A3-c,,0
MultiPoint ((11699734.77801547385752201 1484540.35880533838644624)),11699684.78,1484590.359,11699784.78,1484490.359,293,171.3918142,Avocado,A,3,,c,A3-c,,0
MultiPoint ((11699734.77801547385752201 1484440.35880533838644624)),11699684.78,1484490.359,11699784.78,1484390.359,294,171.3918142,Avocado,A,3,,c,A3-c,,0
MultiPoint ((11699634.77801547385752201 1485440.35880533838644624)),11699584.78,1485490.359,11699684.78,1485390.359,264,171.3918142,Avocado,A,3,,c,A3-c,,0
MultiPoint ((11699634.77801547385752201 1485340.35880533838644624)),11699584.78,1485390.359,11699684.78,1485290.359,265,171.3918142,Avocado,A,3,,c,A3-c,,0
MultiPoint ((11699534.77801547385752201 1483940.35880533838644624)),11699484.78,1483990.359,11699584.78,1483890.359,259,171.3918142,Avocado,A,3,,c,A3-c,,0
MultiPoint ((11699634.77801547385752201 1485540.35880533838644624)),11699584.78,1485590.359,11699684.78,1485490.359,263,171.3918142,Avocado,A,3,,c,A3-c,,0
MultiPoint ((11699634.77801547385752201 1485040.35880533838644624)),11699584.78,1485090.359,11699684.78,1484990.359,268,171.3918142,Avocado,A,3,,c,A3-c,,0
MultiPoint ((11699634.77801547385752201 1484940.35880533838644624)),11699584.78,1484990.359,11699684.78,1484890.359,269,171.3918142,Avocado,A,3,,c,A3-c,,0
MultiPoint ((11699634.77801547385752201 1485240.35880533838644624)),11699584.78,1485290.359,11699684.78,1485190.359,266,171.3918142,Avocado,A,3,,c,A3-c,,0
MultiPoint ((11699634.77801547385752201 1485140.35880533838644624)),11699584.78,1485190.359,11699684.78,1485090.359,267,171.3918142,Avocado,A,3,,c,A3-c,,0
MultiPoint ((11699634.77801547385752201 1484640.35880533838644624)),11699584.78,1484690.359,11699684.78,1484590.359,272,171.3918142,Avocado,A,3,,c,A3-c,,0
MultiPoint ((11699634.77801547385752201 1484540.35880533838644624)),11699584.78,1484590.359,11699684.78,1484490.359,273,171.3918142,Avocado,A,3,,c,A3-c,,0
MultiPoint ((11699634.77801547385752201 1484840.35880533838644624)),11699584.78,1484890.359,11699684.78,1484790.359,270,171.3918142,Avocado,A,3,,c,A3-c,,0
MultiPoint ((11699634.77801547385752201 1484740.35880533838644624)),11699584.78,1484790.359,11699684.78,1484690.359,271,171.3918142,Avocado,A,3,,c,A3-c,,0
MultiPoint ((11699634.77801547385752201 1484240.35880533838644624)),11699584.78,1484290.359,11699684.78,1484190.359,276,171.3918142,Avocado,A,3,,c,A3-c,,0
MultiPoint ((11699634.77801547385752201 1484140.35880533838644624)),11699584.78,1484190.359,11699684.78,1484090.359,277,171.3918142,Avocado,A,3,,c,A3-c,,0
MultiPoint ((11699634.77801547385752201 1484440.35880533838644624)),11699584.78,1484490.359,11699684.78,1484390.359,274,171.3918142,Avocado,A,3,,c,A3-c,,0
MultiPoint ((11699634.77801547385752201 1484340.35880533838644624)),11699584.78,1484390.359,11699684.78,1484290.359,275,171.3918142,Avocado,A,3,,c,A3-c,,0
MultiPoint ((11699534.77801547385752201 1485340.35880533838644624)),11699484.78,1485390.359,11699584.78,1485290.359,245,171.3918142,Avocado,A,3,,c,A3-c,,0
MultiPoint ((11699534.77801547385752201 1485240.35880533838644624)),11699484.78,1485290.359,11699584.78,1485190.359,246,171.3918142,Avocado,A,3,,c,A3-c,,0
