wkt_geom,id,Area,Region,Region_Let,Number,Client_Nam,Columna1,Name,xcoord,ycoord
Point (11699605.91537001170217991 1485440.35880533838644624),44,171.3918142,Avocado,A,3,,c,A3-c,11699605.92,1485440.359
Point (11699505.91537001170217991 1484440.35880533838644624),34,171.3918142,Avocado,A,3,,c,A3-c,11699505.92,1484440.359
Point (11699505.91537001170217991 1484340.35880533838644624),35,171.3918142,Avocado,A,3,,c,A3-c,11699505.92,1484340.359
Point (11699505.91537001170217991 1484240.35880533838644624),36,171.3918142,Avocado,A,3,,c,A3-c,11699505.92,1484240.359
Point (11699505.91537001170217991 1484140.35880533838644624),37,171.3918142,Avocado,A,3,,c,A3-c,11699505.92,1484140.359
Point (11699505.91537001170217991 1484840.35880533838644624),30,171.3918142,Avocado,A,3,,c,A3-c,11699505.92,1484840.359
Point (11699505.91537001170217991 1484740.35880533838644624),31,171.3918142,Avocado,A,3,,c,A3-c,11699505.92,1484740.359
Point (11699505.91537001170217991 1484640.35880533838644624),32,171.3918142,Avocado,A,3,,c,A3-c,11699505.92,1484640.359
Point (11699505.91537001170217991 1484540.35880533838644624),33,171.3918142,Avocado,A,3,,c,A3-c,11699505.92,1484540.359
Point (11699705.91537001170217991 1485440.35880533838644624),64,171.3918142,Avocado,A,3,,c,A3-c,11699705.92,1485440.359
Point (11699705.91537001170217991 1485340.35880533838644624),65,171.3918142,Avocado,A,3,,c,A3-c,11699705.92,1485340.359
Point (11699705.91537001170217991 1485240.35880533838644624),66,171.3918142,Avocado,A,3,,c,A3-c,11699705.92,1485240.359
Point (11699705.91537001170217991 1485140.35880533838644624),67,171.3918142,Avocado,A,3,,c,A3-c,11699705.92,1485140.359
Point (11699605.91537001170217991 1484140.35880533838644624),57,171.3918142,Avocado,A,3,,c,A3-c,11699605.92,1484140.359
Point (11699605.91537001170217991 1484040.35880533838644624),58,171.3918142,Avocado,A,3,,c,A3-c,11699605.92,1484040.359
Point (11699605.91537001170217991 1483940.35880533838644624),59,171.3918142,Avocado,A,3,,c,A3-c,11699605.92,1483940.359
Point (11699705.91537001170217991 1485540.35880533838644624),63,171.3918142,Avocado,A,3,,c,A3-c,11699705.92,1485540.359
Point (11699605.91537001170217991 1484540.35880533838644624),53,171.3918142,Avocado,A,3,,c,A3-c,11699605.92,1484540.359
Point (11699605.91537001170217991 1484440.35880533838644624),54,171.3918142,Avocado,A,3,,c,A3-c,11699605.92,1484440.359
Point (11699605.91537001170217991 1484340.35880533838644624),55,171.3918142,Avocado,A,3,,c,A3-c,11699605.92,1484340.359
Point (11699605.91537001170217991 1484240.35880533838644624),56,171.3918142,Avocado,A,3,,c,A3-c,11699605.92,1484240.359
Point (11699605.91537001170217991 1484940.35880533838644624),49,171.3918142,Avocado,A,3,,c,A3-c,11699605.92,1484940.359
Point (11699605.91537001170217991 1484840.35880533838644624),50,171.3918142,Avocado,A,3,,c,A3-c,11699605.92,1484840.359
Point (11699605.91537001170217991 1484740.35880533838644624),51,171.3918142,Avocado,A,3,,c,A3-c,11699605.92,1484740.359
Point (11699605.91537001170217991 1484640.35880533838644624),52,171.3918142,Avocado,A,3,,c,A3-c,11699605.92,1484640.359
Point (11699805.91537001170217991 1485440.35880533838644624),84,171.3918142,Avocado,A,3,,c,A3-c,11699805.92,1485440.359
Point (11699805.91537001170217991 1485340.35880533838644624),85,171.3918142,Avocado,A,3,,c,A3-c,11699805.92,1485340.359
Point (11699805.91537001170217991 1485240.35880533838644624),86,171.3918142,Avocado,A,3,,c,A3-c,11699805.92,1485240.359
Point (11699805.91537001170217991 1485140.35880533838644624),87,171.3918142,Avocado,A,3,,c,A3-c,11699805.92,1485140.359
Point (11699705.91537001170217991 1484240.35880533838644624),76,171.3918142,Avocado,A,3,,c,A3-c,11699705.92,1484240.359
Point (11699705.91537001170217991 1484140.35880533838644624),77,171.3918142,Avocado,A,3,,c,A3-c,11699705.92,1484140.359
Point (11699805.91537001170217991 1485640.35880533838644624),82,171.3918142,Avocado,A,3,,c,A3-c,11699805.92,1485640.359
Point (11699805.91537001170217991 1485540.35880533838644624),83,171.3918142,Avocado,A,3,,c,A3-c,11699805.92,1485540.359
Point (11699705.91537001170217991 1484640.35880533838644624),72,171.3918142,Avocado,A,3,,c,A3-c,11699705.92,1484640.359
Point (11699705.91537001170217991 1484540.35880533838644624),73,171.3918142,Avocado,A,3,,c,A3-c,11699705.92,1484540.359
Point (11699705.91537001170217991 1484440.35880533838644624),74,171.3918142,Avocado,A,3,,c,A3-c,11699705.92,1484440.359
Point (11699705.91537001170217991 1484340.35880533838644624),75,171.3918142,Avocado,A,3,,c,A3-c,11699705.92,1484340.359
Point (11699705.91537001170217991 1485040.35880533838644624),68,171.3918142,Avocado,A,3,,c,A3-c,11699705.92,1485040.359
Point (11699705.91537001170217991 1484940.35880533838644624),69,171.3918142,Avocado,A,3,,c,A3-c,11699705.92,1484940.359
Point (11699705.91537001170217991 1484840.35880533838644624),70,171.3918142,Avocado,A,3,,c,A3-c,11699705.92,1484840.359
Point (11699705.91537001170217991 1484740.35880533838644624),71,171.3918142,Avocado,A,3,,c,A3-c,11699705.92,1484740.359
Point (11699905.91537001170217991 1485440.35880533838644624),104,171.3918142,Avocado,A,3,,c,A3-c,11699905.92,1485440.359
